sampleID	feature-id	time_point	collection_status	species	depth	treatment	Transp_To	Tag#	Tag_Code	Tag_Code2	Tag_Color
USVI-54	USVI-54_S103	one	initial	O. franksi	Deep	Deep	D	16	Y16*	Y16K	Yellow
USVI-55	USVI-55_S104	one	initial	O. franksi	Deep	Deep	D	21	Y21*	Y21K	Yellow
USVI-56	USVI-56_S105	one	initial	O. franksi	Deep	Deep	D	26	Y26*	Y26K	Yellow
USVI-57	USVI-57_S106	one	initial	O. franksi	Deep	Deep	D	31	Y31*	Y31K	Yellow
USVI-58	USVI-58_S107	one	initial	O. franksi	Deep	Deep	D	36	Y36*	Y36K	Yellow
USVI-59	USVI-59_S108	one	initial	O. franksi	Deep	Deep	D	41	Y41*	Y41K	Yellow
USVI-6	USVI-6_S226	one	initial	O. faveolata	Shallow	Shallow	S	26	Y26	Y26F	Yellow
USVI-60	USVI-60_S109	one	initial	O. franksi	Deep	Deep	D	46	Y46*	Y46K	Yellow
USVI-61	USVI-61_S211	one	initial	O. franksi	Deep	Deep	D	51	Y51*	Y51K	Yellow
USVI-62	USVI-62_S212	one	initial	O. franksi	Deep	Deep	D	56	Y56*	Y56K	Yellow
USVI-63	USVI-63_S157	one	initial	O. franksi	Deep	Deep	D	61	Y61*	Y61K	Yellow
USVI-64	USVI-64_S110	one	initial	O. franksi	Deep	Deep	D	66	Y66*	Y66K	Yellow
USVI-65	USVI-65_S213	one	initial	O. franksi	Deep	Deep	D	71	Y71*	Y71K	Yellow
USVI-66	USVI-66_S111	one	initial	O. franksi	Deep	Deep	D	76	Y76*	Y76K	Yellow
USVI-67	USVI-67_S112	one	initial	O. franksi	Deep	Deep	D	81	Y81*	Y81K	Yellow
USVI-68	USVI-68_S113	one	initial	O. franksi	Deep	Deep	D	86	Y86*	Y86K	Yellow
USVI-69	USVI-69_S114	one	initial	O. franksi	Deep	Deep	D	91	Y91*	Y91K	Yellow
USVI-7	USVI-7_S191	one	initial	O. faveolata	Shallow	Shallow	S	31	Y31	Y31F	Yellow
USVI-70	USVI-70_S214	one	initial	O. franksi	Deep	Deep	D	96	Y96*	Y96K	Yellow
USVI-71	USVI-71_S115	one	initial	O. franksi	Deep	Deep	D	1	B1*	B1K	Blue
USVI-72	USVI-72_S215	one	initial	O. franksi	Deep	Deep	D	6	B6*	B6K	Blue
USVI-73	USVI-73_S116	one	initial	O. franksi	Deep	Deep	D	11	B11*	B11K	Blue
USVI-74	USVI-74_S117	one	initial	O. franksi	Deep	Deep	D	16	B16*	B16K	Blue
USVI-75	USVI-75_S216	one	initial	O. franksi	Deep	Deep	D	21	B21*	B21K	Blue
USVI-76	USVI-76_S118	one	initial	O. franksi	Deep	Deep	D	26	B26*	B26K	Blue
USVI-77	USVI-77_S119	one	initial	O. franksi	Deep	Deep	D	31	B31*	B31K	Blue
USVI-78	USVI-78_S217	one	initial	O. franksi	Deep	Deep	D	36	B36*	B36K	Blue
USVI-79	USVI-79_S120	one	initial	O. franksi	Deep	Deep	D	41	B41*	B41K	Blue
